"cells","sample","tree_num","tree","tree_file_name","num_df","fn","gamma","full_tree_cells"
251,0,1,"Patient14_trees.txt","Patient14_trees.txt_T0_DF.csv",1,0.0492337662337662,0.95,829
278,0,2,"Patient14_trees.txt","Patient14_trees.txt_T1_DF.csv",1,0.0492337662337662,0.95,1018
264,0,3,"Patient14_trees.txt","Patient14_trees.txt_T2_DF.csv",1,0.0492337662337662,0.95,992
264,0,4,"Patient14_trees.txt","Patient14_trees.txt_T3_DF.csv",1,0.0492337662337662,0.95,827
345,0,1,"Patient22_trees.txt","Patient22_trees.txt_T0_DF.csv",1,0.0492337662337662,0.95,405
342,0,2,"Patient22_trees.txt","Patient22_trees.txt_T1_DF.csv",1,0.0492337662337662,0.95,472
372,0,11,"Patient22_trees.txt","Patient22_trees.txt_T10_DF.csv",1,0.0492337662337662,0.95,406
345,0,12,"Patient22_trees.txt","Patient22_trees.txt_T11_DF.csv",1,0.0492337662337662,0.95,399
356,0,13,"Patient22_trees.txt","Patient22_trees.txt_T12_DF.csv",1,0.0492337662337662,0.95,480
356,0,14,"Patient22_trees.txt","Patient22_trees.txt_T13_DF.csv",1,0.0492337662337662,0.95,395
356,0,15,"Patient22_trees.txt","Patient22_trees.txt_T14_DF.csv",1,0.0492337662337662,0.95,415
356,0,16,"Patient22_trees.txt","Patient22_trees.txt_T15_DF.csv",1,0.0492337662337662,0.95,422
372,0,17,"Patient22_trees.txt","Patient22_trees.txt_T16_DF.csv",1,0.0492337662337662,0.95,405
345,0,18,"Patient22_trees.txt","Patient22_trees.txt_T17_DF.csv",1,0.0492337662337662,0.95,409
345,0,19,"Patient22_trees.txt","Patient22_trees.txt_T18_DF.csv",1,0.0492337662337662,0.95,797
345,0,20,"Patient22_trees.txt","Patient22_trees.txt_T19_DF.csv",1,0.0492337662337662,0.95,836
349,0,3,"Patient22_trees.txt","Patient22_trees.txt_T2_DF.csv",1,0.0492337662337662,0.95,795
356,0,21,"Patient22_trees.txt","Patient22_trees.txt_T20_DF.csv",1,0.0492337662337662,0.95,965
356,0,22,"Patient22_trees.txt","Patient22_trees.txt_T21_DF.csv",1,0.0492337662337662,0.95,795
372,0,23,"Patient22_trees.txt","Patient22_trees.txt_T22_DF.csv",1,0.0492337662337662,0.95,795
389,0,24,"Patient22_trees.txt","Patient22_trees.txt_T23_DF.csv",1,0.0492337662337662,0.95,797
372,0,25,"Patient22_trees.txt","Patient22_trees.txt_T24_DF.csv",1,0.0492337662337662,0.95,836
356,0,26,"Patient22_trees.txt","Patient22_trees.txt_T25_DF.csv",1,0.0492337662337662,0.95,563
359,0,27,"Patient22_trees.txt","Patient22_trees.txt_T26_DF.csv",1,0.0492337662337662,0.95,566
